team_id	team_name_1	team_name_2	team_name_3
217	Paraná	Paraná Clube	Paraná - PR
262	Flamengo	Clube de Regatas do Flamengo	Flamengo - RJ
263	Botafogo	Botafogo de Futebol e Regatas	Botafogo - RJ
264	Corinthians	Sport Club Corinthians Paulista	Corinthians - SP
265	Bahia	Esporte Clube Bahia	Bahia - BA
266	Fluminense	Fluminense Football Club	Fluminense - RJ
267	Vasco	Club de Regatas Vasco da Gama	Vasco da Gama - RJ
275	Palmeiras	Sociedade Esportiva Palmeiras	Palmeiras - SP
276	São Paulo	São Paulo Futebol Clube	São Paulo - SP
277	Santos	Santos FC	Santos - SP
282	Atlético-MG	Clube Atlético Mineiro	Atlético - MG
283	Cruzeiro	Cruzeiro Esporte Clube	Cruzeiro - MG
284	Grêmio	Grêmio Foot-Ball Porto Alegrense	Grêmio - RS
285	Internacional	Sport Club Internacional	Internacional - RS
287	Vitória	Esporte Clube Vitória	Vitória - BA
288	Criciúma	Criciúma Esporte Clube	Criciuma - SC
290	Goiás	Goiás Esporte Clube	Goiás - GO
292	Sport	Sport Club do Recife	Sport - PE
293	Atlético-PR	Club Athletico Paranaense	Atlético - PR
294	Coritiba	Coritiba Foot Ball Club	Coritiba - PR
303	Ponte Preta	Associação Atlética Ponte Preta SP	Ponte Preta - SP
314	Avaí	Avaí Futebol Clube (SC)	Avaí - SC
315	Chapecoense	Associação Chapecoense de Futebol	Chapecoense - SC
316	Figueirense	Figueirense Futebol Clube	Figueirense - SC
317	Joinville	Joinville EC (SC)	Joinville - SC
327	América-MG	América Futebol Clube (MG)	América - MG
341	CSA	Centro Sportivo Alagoano (AL)	Csa - AL
344	Santa Cruz	Santa Cruz Futebol Clube (PE)	Santa Cruz - PE
356	Fortaleza	Fortaleza Esporte Clube	Fortaleza - CE
373	Atlético-GO	AC Goianiense (GO)	Atlético - GO
204/354	Ceará	Ceará Sporting Club	Ceará - CE